,Train_score,Test_score
CatBoost,0.9044747778208367,0.8798844266744722
Random Forest,0.8745318034017706,0.8639785571792064
Decision Tree,0.8261588620473106,0.7812829500450803
Gradient Boosting,0.9009029354004361,0.8624156890204144
Linear Regression,0.872518475595264,0.891141775835925
K-neighbours,0.9994585018528872,0.5970035976217899
XGBoost,0.9446493170665033,0.8620146005598142
AdaBoost,0.8481194382212104,0.8534754576735667
