iter	RMSE
162	5.022091755
163	5.016913041
164	5.016508952
165	5.014491124
166	5.012857769
167	5.009334894
168	5.005241566
169	5.000545188
170	4.99597854
171	4.992251287
172	4.98555586
173	4.983261093
174	4.977431729
175	4.973872562
176	4.969862412
177	4.966518042
178	4.958651266
179	4.952471579
180	4.947906298
181	4.945733732
182	4.94148786
183	4.938270027
184	4.935592298
185	4.933290114
186	4.929577639
187	4.92890191
188	4.924976203
189	4.919787601
190	4.917320741
191	4.913152748
192	4.911354051
193	4.910136605
194	4.904815841
195	4.902152971
196	4.897934018
197	4.894186217
198	4.889888361
199	4.887020041
200	4.882944037
201	4.879166701
202	4.875031763
203	4.870745754
204	4.868624007
205	4.865738102
206	4.862313605
207	4.859389968
208	4.856729182
209	4.854000974
210	4.850731761
211	4.847839483
212	4.845157465
213	4.842647992
214	4.837751833
215	4.834580969
216	4.833464177
217	4.829740348
218	4.825163275
219	4.82220662
220	4.818231858
221	4.813817983
222	4.811467243
223	4.807011463
224	4.802416604
225	4.801127826
226	4.800502056
227	4.796184021
228	4.792311173
229	4.789419222
230	4.787116549
231	4.782662244
232	4.780344066
233	4.777751486
234	4.771891618
235	4.76959634
236	4.76816733
237	4.762669597
238	4.757203624
239	4.75270913
240	4.747411876
241	4.741958165
242	4.740066087
243	4.738292342
244	4.735076279
245	4.728757237
246	4.72442723
247	4.722270899
248	4.718327088
249	4.716851807
250	4.71263144
251	4.709599777
252	4.705833237
253	4.704056316
254	4.69864387
255	4.695992966
256	4.695128414
257	4.692135882
258	4.690447067
259	4.688681683
260	4.686698926
261	4.681874345
262	4.68076456
263	4.677819362
264	4.671597473
265	4.669356856
266	4.668885698
267	4.66156611
268	4.657331907
269	4.654650147
270	4.652782625
271	4.646746993
272	4.639354514
273	4.632362463
274	4.627497666
275	4.623676043
276	4.621962331
277	4.617447577
278	4.615044107
279	4.613160091
280	4.607955667
281	4.605916162
282	4.601834985
283	4.599347066
284	4.595009087
285	4.590089361
286	4.583658702
287	4.580170831
288	4.575727934
289	4.574149184
290	4.570953448
291	4.56972158
292	4.568169706
293	4.564571575
294	4.563660476
295	4.562284557
296	4.557593242
297	4.556034138
298	4.551242924
299	4.549265921
300	4.548871831
301	4.547465813
302	4.546071096
303	4.541317929
304	4.538609053
305	4.533911672
306	4.530624608
307	4.525012105
308	4.519967169
309	4.51709721
310	4.514340792
311	4.511230735
312	4.507975882
313	4.50431287
314	4.499981557
315	4.494598954
316	4.49040391
317	4.484578917
318	4.479898944
319	4.476729874
320	4.470719067
321	4.468631173
322	4.464018642
323	4.458523108
324	4.454970433
325	4.453863721
326	4.450624912
327	4.449368016
328	4.448146712
329	4.445438874
330	4.444369136
331	4.440119402
332	4.439635773
333	4.435991811
334	4.433516767
335	4.430273677
336	4.425891963
337	4.42168747
338	4.418673725
339	4.415431684
340	4.413648535
341	4.409661692
342	4.40806634
343	4.402853097
344	4.397110019
345	4.390759291
346	4.386667768
347	4.382293208
348	4.377343471
349	4.375182261
350	4.373455598
351	4.369659192
352	4.365783242
353	4.363631117
354	4.361901411
355	4.357110386
356	4.35527422
357	4.352562003
358	4.349478492
359	4.347954908
360	4.345682176
361	4.342423005
362	4.341135707
363	4.338211194
364	4.33378105
365	4.331074555
366	4.328104984
367	4.324990925
368	4.324015569
369	4.319448373
370	4.313585465
371	4.309992218
372	4.306447779
373	4.301601053
374	4.300402777
375	4.297861515
376	4.296888401
377	4.292393938
378	4.287155771
379	4.286265892
380	4.283388272
381	4.279472129
382	4.275449399
383	4.272777431
384	4.26999105
385	4.26501182
386	4.261329841
387	4.257825923
388	4.253576969
389	4.249637013
390	4.246565672
391	4.244968441
392	4.241700828
393	4.237830565
394	4.23409249
395	4.229257345
396	4.226934713
397	4.226080022
398	4.222581032
399	4.221269322
400	4.219107328
401	4.216742524
402	4.215247976
403	4.211878859
404	4.209441355
405	4.205676664
406	4.202324412
407	4.200268951
408	4.199711414
409	4.198918642
410	4.195579155
411	4.193036447
412	4.190193696
413	4.189562741
414	4.188894571
415	4.186903969
416	4.185259968
417	4.179351496
418	4.176520837
419	4.174442949
420	4.172296914
421	4.171725355
422	4.168349642
423	4.165134954
424	4.163630145
425	4.163085047
426	4.159769909
427	4.157160115
428	4.153937523
429	4.152320098
430	4.148561763
431	4.145141099
432	4.140625995
433	4.136422401
434	4.134048293
435	4.131017113
436	4.128501237
437	4.123879794
438	4.119781727
439	4.117488236
440	4.113239845
441	4.112983607
442	4.11019959
443	4.10718191
444	4.105038881
445	4.103032751
446	4.100349034
447	4.098420763
448	4.097204252
449	4.093353106
450	4.092244968
451	4.087775567
452	4.086352653
453	4.085198523
454	4.081403721
455	4.078550701
456	4.076209045
457	4.072394467
458	4.069155602
459	4.066526664
460	4.065799624
461	4.062556756
462	4.061245616
463	4.057452766
464	4.054532737
465	4.050752151
466	4.048383
467	4.044363349
468	4.041121459
469	4.03650813
470	4.033623351
471	4.031327573
472	4.027499103
473	4.023829243
474	4.019964102
475	4.019152649
476	4.015103925
477	4.01446765
478	4.00938282
479	4.006173433
480	4.003745012
481	4.000791815
482	3.998079705
483	3.995337122
484	3.992192771
485	3.989137477
486	3.987991946
487	3.986168505
488	3.983653008
489	3.983150837
490	3.980671712
491	3.979260215
492	3.975726887
493	3.972662133
494	3.971997342
495	3.970280564
496	3.96963071
497	3.967828522
498	3.9670555
499	3.966497961
500	3.966419344
501	3.965489088
502	3.963309541
503	3.96166243
504	3.959435328
505	3.956458342
506	3.954301241
507	3.953111706
508	3.952692624
509	3.948415632
510	3.945070714
511	3.941471518
512	3.938888646
513	3.935297511
514	3.93326321
515	3.930253664
516	3.926205038
517	3.924268784
518	3.920812685
519	3.919636725
520	3.915572727
521	3.913256185
522	3.910193842
523	3.906229465
524	3.902908435
525	3.901363008
526	3.89921877
527	3.897853199
528	3.895202682
529	3.893055408
530	3.889388641
531	3.888313394
532	3.884905626
533	3.883320958
534	3.879883526
535	3.877655761
536	3.875695329
537	3.872845843
538	3.870911293
539	3.869460289
540	3.866129716
541	3.863112712
542	3.859712237
543	3.858747677
544	3.855877254
545	3.85546572
546	3.852786304
547	3.85117283
548	3.847573729
549	3.846672118
550	3.846191711
551	3.845183299
552	3.842828805
553	3.838793393
554	3.83812404
555	3.835183435
556	3.833429097
557	3.829943019
558	3.827846096
559	3.827319078
560	3.822852309
561	3.820152897
562	3.818930394
563	3.81629737
564	3.815537195
565	3.814072158
566	3.812722048
567	3.810612374
568	3.808893149
569	3.805688937
570	3.804669614
571	3.803352491
572	3.800937757
573	3.798000276
574	3.795986817
575	3.794370067
576	3.792933167
577	3.791678914
578	3.788428888
579	3.786869205
580	3.782763088
581	3.781507126
582	3.777419894
583	3.776567707
584	3.774876318
585	3.772341638
586	3.770149389
587	3.766581086
588	3.762693684
589	3.761595958
590	3.758937744
591	3.756905793
592	3.756330861
593	3.754358186
594	3.75386959
595	3.751969079
596	3.750719494
597	3.749146479
598	3.74752958
599	3.744497703
600	3.741727421
601	3.739833125
602	3.736983483
603	3.734631243
604	3.731176347
605	3.72963822
606	3.726761809
607	3.726367203
608	3.724849209
609	3.722608246
610	3.720983896
611	3.718610649
612	3.716524161
613	3.713797906
614	3.713228993
615	3.710053127
616	3.707426294
617	3.706522341
618	3.704548064
619	3.700441389
620	3.699224158
621	3.698627426
622	3.695061394
623	3.691428271
624	3.687703429
625	3.686321261
626	3.685710081
627	3.682881091
628	3.679649658
629	3.677890215
630	3.674850738
631	3.674782123
632	3.673460163
633	3.672027495
634	3.670725787
635	3.669102579
636	3.666613845
637	3.665790462
638	3.662605739
639	3.661858398
640	3.660994392
641	3.657405571
642	3.656424628
643	3.656368271
644	3.653448172
645	3.650017282
646	3.648523318
647	3.64758623
648	3.645803648
649	3.644558777
650	3.642516933
651	3.641572866
652	3.640289664
653	3.638924248
654	3.637613311
655	3.636659121
656	3.633854976
657	3.633004024
658	3.630594637
659	3.630237853
660	3.630006077
661	3.627258073
662	3.626766401
663	3.625219203
664	3.624515381
665	3.621946487
666	3.619656681
667	3.618137839
668	3.616852083
669	3.615328407
670	3.613481147
671	3.612124846
672	3.609824205
673	3.607224509
674	3.604678351
675	3.603626131
676	3.602535591
677	3.601138323
678	3.598922794
679	3.595746582
680	3.59502824
681	3.592635537
682	3.589798667
683	3.588351672
684	3.585426517
685	3.58281765
686	3.580754375
687	3.577027208
688	3.576020767
689	3.575673878
690	3.574426927
691	3.572715028
692	3.570381776
693	3.569343052
694	3.567656593
695	3.564334819
696	3.563366427
697	3.562241054
698	3.559179803
699	3.558835773
700	3.55814263
701	3.555472841
702	3.553720606
703	3.550492562
704	3.549684513
705	3.548099344
706	3.547407393
707	3.545101775
708	3.543552248
709	3.540825097
710	3.538137154
711	3.536255736
712	3.533099753
713	3.531827433
714	3.528580634
715	3.525810568
716	3.524742279
717	3.524599531
718	3.522211472
719	3.519244531
720	3.517070504
721	3.515317583
722	3.514379085
723	3.511567578
724	3.510529492
725	3.508181379
726	3.504312611
727	3.501721954
728	3.501025269
729	3.500146531
730	3.498057479
731	3.494112322
732	3.492405507
733	3.491633833
734	3.490394534
735	3.487851411
736	3.487457838
737	3.486654043
738	3.484774171
739	3.483550635
740	3.481265162
741	3.478910042
742	3.478806886
743	3.476809771
744	3.47554717
745	3.473844943
746	3.47141037
747	3.470172429
748	3.467352727
749	3.466066711
750	3.463526262
751	3.461521862
752	3.460059573
753	3.458089753
754	3.4573909
755	3.455661403
756	3.45516024
757	3.452395487
758	3.449764077
759	3.445823884
760	3.444519134
761	3.442726069
762	3.441968097
763	3.440835867
764	3.440786072
765	3.438186919
766	3.436857717
767	3.434606221
768	3.432727853
769	3.429219576
770	3.427586916
771	3.427117518
772	3.425535708
773	3.425344125
774	3.42481146
775	3.423084014
776	3.42228241
777	3.421550329
778	3.420426621
779	3.420130167
780	3.417938164
781	3.417782249
782	3.415306057
783	3.413738818
784	3.411388705
785	3.408331914
786	3.405938343
787	3.4033303
788	3.40057713
789	3.397508359
790	3.396095177
791	3.394995679
792	3.394524195
793	3.393061106
794	3.392660122
795	3.39172137
796	3.389251262
797	3.387698256
798	3.384655413
799	3.38156734
800	3.379354026
801	3.377748386
802	3.374162724
803	3.372649364
804	3.370916664
805	3.368603369
806	3.365626229
807	3.36496971
808	3.363563454
809	3.361146011
810	3.35978629
811	3.358710243
812	3.356431425
813	3.356251225
814	3.355433412
815	3.35428411
816	3.353930812
817	3.353015038
818	3.352000539
819	3.350329393
820	3.349600655
821	3.347183725
822	3.346028847
823	3.344526659
824	3.342126724
825	3.341820456
826	3.339392152
827	3.33746292
828	3.335964404
829	3.334664497
830	3.331578112
831	3.329949049
832	3.327967219
833	3.325346977
834	3.32433951
835	3.322977193
836	3.320899115
837	3.319178081
838	3.318519752
839	3.317956686
840	3.316604163
841	3.315185439
842	3.312807127
843	3.310975192
844	3.31025433
845	3.309480051
846	3.3085065
847	3.307360422
848	3.305217626
849	3.303181241
850	3.300717037
851	3.300175501
852	3.299051617
853	3.297316441
854	3.294922415
855	3.293634476
856	3.292854864
857	3.291584953
858	3.289949565
859	3.289462839
860	3.287757712
861	3.286722165
862	3.285124906
863	3.284317128
864	3.281062939
865	3.280249387
866	3.280214976
867	3.279801434
868	3.278426217
869	3.276931905
870	3.275031783
871	3.272971378
872	3.271742559
873	3.270941739
874	3.268072079
875	3.264813531
876	3.264402482
877	3.262727323
878	3.259574149
879	3.256157387
880	3.254874841
881	3.252780269
882	3.249299295
883	3.248281678
884	3.246240617
885	3.244612217
886	3.243165657
887	3.242814209
888	3.240429351
889	3.238203406
890	3.235764212
891	3.233890372
892	3.23346664
893	3.22990136
894	3.227967265
895	3.226419914
896	3.225955189
897	3.223938651
898	3.221754369
899	3.220541089
900	3.21997654
901	3.219869421
902	3.218342041
903	3.217564718
904	3.215197814
905	3.214795015
906	3.213417751
907	3.211204744
908	3.209703435
909	3.208979659
910	3.20709372
911	3.206650777
912	3.205588653
913	3.204988233
914	3.203913415
915	3.201718512
916	3.198472761
917	3.197020992
918	3.196274162
919	3.195567297
920	3.194891853
921	3.193472997
922	3.190594238
923	3.188721578
924	3.187155711
925	3.18677295
926	3.185392357
927	3.184038791
928	3.181154565
929	3.178967606
930	3.177642616
931	3.176680594
932	3.175236591
933	3.175103913
934	3.173066849
935	3.171758575
936	3.17162649
937	3.170347782
938	3.168264051
939	3.166864423
940	3.166632088
941	3.165548024
942	3.164903112
943	3.163935921
944	3.161214291
945	3.159184699
946	3.157293381
947	3.1559586
948	3.154791492
949	3.154167958
950	3.152406501
951	3.150974237
952	3.149556764
953	3.149528445
954	3.14884731
955	3.148289711
956	3.146225398
957	3.144023369
958	3.141586435
959	3.139826158
960	3.137953576
961	3.135841611
962	3.134214578
963	3.130829245
964	3.129433729
965	3.12849834
966	3.126224111
967	3.125438783
968	3.122104619
969	3.121805161
970	3.119854734
971	3.11735261
972	3.11537687
973	3.11355882
974	3.113501016
975	3.111774886
976	3.111424082
977	3.111094592
978	3.110620135
979	3.109342256
980	3.108697051
981	3.107446959
982	3.105505328
983	3.104815058
984	3.102425508
985	3.098852685
986	3.097019492
987	3.096960362
988	3.096896926
989	3.094871888
990	3.092879592
991	3.089673644
992	3.08877368
993	3.088724684
994	3.0873906
995	3.087103277
996	3.086012096
997	3.085034153
998	3.083905954
999	3.082743708
